date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-09-12,1.0884269740791814,1.0818156795646812,0.9381470975772149,1.1990334379914827,5852.127139343822,3990.691579855434,2719.0000000000005,2719,100000
2020-09-13,1.0476280475927708,1.0442535239135649,0.9182280106160782,1.1783998084932974,5994.535722527651,4200.281599246662,3175.000000000001,3175,100000
2020-09-14,1.0069053439990012,0.9978559638191355,0.870955345662255,1.1216483690960317,6102.618358567113,4410.251587299887,4812.000000000002,4812,100000
2020-09-15,0.9676011839025471,0.9564066871383949,0.8556147882314462,1.0921961936435243,6170.087148056571,4617.726277827227,5539.000000000002,5539,100000
2020-09-16,0.9278180246546911,0.9210957006559334,0.8209448787417986,1.0551739782829033,6191.261222731635,4819.4416500871885,4574.000000000002,4574,100000
2020-09-17,0.8875111459118742,0.885182238168228,0.7790066004017001,1.000431201179971,6164.813650230194,5011.743855630266,5386.000000000002,5386,100000
2020-09-18,0.8456969486032144,0.8418225768474654,0.7241288995723606,0.9351073997251582,6090.7955278444415,5190.593471787178,5340.000000000002,5340,100000
2020-09-19,0.804014541747205,0.8010115802519905,0.7120879761755375,0.9193775636522616,5969.115950225507,5351.633775082579,3809.000000000001,3809,100000
2020-09-20,0.7645765425867996,0.7593104724268753,0.6629873483108483,0.8549392981025297,5799.788970222582,5490.526569696385,2579.000000000001,2579,100000
2020-09-21,0.7309011051678128,0.7257537005040804,0.626777106236775,0.8251186159883643,5584.60183738124,5603.263988896678,3867.0000000000014,3867,100000
2020-09-22,0.6989550259320674,0.6965039487732416,0.617240349790375,0.8035076740963488,5329.068030257159,5686.25257120079,7023.000000000002,7023,100000
2020-09-23,0.6691695482547777,0.666628087886595,0.5881456385847157,0.76888794114518,5042.593934820583,5736.380476180197,7127.000000000002,7127,100000
2020-09-24,0.6444019329047019,0.6418441593753172,0.5571411938766152,0.727248814861684,4734.412843910302,5751.12762342546,8236.000000000002,8236,100000
2020-09-25,0.6221347071645994,0.6193703755466886,0.5384949192071021,0.7060128196117558,4412.078971013099,5728.807735108973,8390.000000000002,8390,100000
2020-09-26,0.6024213353260184,0.5971193174956013,0.5235770146595703,0.6749183447698688,4083.7252503656755,5668.9402685637615,5882.000000000002,5882,100000
2020-09-27,0.5848495873639828,0.5809825557966986,0.4944468307263321,0.6508505395959308,3756.9072144860165,5572.347052774524,3419.000000000001,3419,100000
2020-09-28,0.5729990948526286,0.5723835078748656,0.48898034888888814,0.6447399331812284,3437.283633758801,5441.010247648826,1159.0000000000002,1159,100000
2020-09-29,0.56285229721578,0.560873880453796,0.4923508279940042,0.6398840982705982,3129.1936363204286,5277.937752382259,4993.000000000002,4993,100000
2020-09-30,0.5588347175914958,0.558351658950298,0.4798191195531539,0.6240510445400954,2836.9959188252496,5087.000586556167,9078.000000000002,9078,100000
2020-10-01,0.5581893212758675,0.5556160733803106,0.47852964530870995,0.6300340653329017,2563.9317761086677,4872.664930970177,7731.000000000003,7731,100000
2020-10-02,0.5595249351852453,0.5595430010040925,0.4948435940299919,0.643832715056875,2312.3441691603552,4639.710721924023,7059.000000000002,7059,100000
2020-10-03,0.5620471670265142,0.5611945400187306,0.486615616409225,0.6314784918844666,2083.7456651521798,4393.053077918112,2595.000000000001,2595,100000
2020-10-04,0.5685622168190944,0.5655283872451491,0.49487656809647873,0.6471320421992871,1877.8446420351236,4137.563039102765,2938.000000000001,2938,100000
2020-10-05,0.576835396638352,0.5747384806455361,0.49732834058350417,0.6521138125377505,1693.2070653492647,3877.922077014994,5721.000000000001,5721,100000
2020-10-06,0.5880141259912748,0.5835371151347786,0.5144336057924811,0.6721108586551037,1528.5696533666455,3618.47796200624,4724.000000000001,4724,100000
2020-10-07,0.6018857522668057,0.5985823040321018,0.5152921447339772,0.6786127346714721,1382.6879583370196,3363.0751570054463,4164.000000000002,4164,100000
2020-10-08,0.6201164967675514,0.6139326499001045,0.5441118072993302,0.716538011312232,1254.117021758661,3114.9353172800256,3756.0000000000014,3756,100000
2020-10-09,0.6372872950949865,0.6308455335529122,0.5432060084912403,0.7107058475729214,1141.445201297545,2876.650469402358,2964.000000000001,2964,100000
2020-10-10,0.6555644930195347,0.6488783934764584,0.569774287900059,0.7514875883549459,1043.3790797165414,2650.2052915311638,917.0000000000002,917,100000
2020-10-11,0.6774029714823024,0.6739398796100051,0.5643267486586934,0.748587549333238,958.2620879437551,2437.0124312727685,1646.0000000000005,1646,100000
2020-10-12,0.7010494444149153,0.6939127909665994,0.6093945215857491,0.8003566803164326,884.381366994611,2237.985038170078,3169.0000000000014,3169,100000
2020-10-13,0.726783599227609,0.722638068498205,0.6317740942887955,0.8226871851552774,820.5383164860949,2053.608549540229,2336.0000000000005,2336,100000
2020-10-14,0.7509719820313022,0.7484094749048407,0.6478234164496081,0.8425837729416896,765.7593999072819,1883.991859861992,2118.000000000001,2118,100000
2020-10-15,0.7769345609317237,0.7755883819056889,0.6878288688822043,0.8799861767527722,719.0856739007771,1728.9237009776357,1612.0000000000005,1612,100000
2020-10-16,0.8034754169703006,0.8005836920976508,0.6946818422714454,0.8972951935318715,679.4416290030949,1587.9518914739072,1500.0000000000005,1500,100000
2020-10-17,0.8300960103399078,0.8267606251528323,0.7241235507814494,0.9385914253877904,645.9046353758209,1460.4546874127452,412.00000000000017,412,100000
2020-10-18,0.857930164125341,0.8551510159874849,0.7610390999338852,0.9724055123517901,617.795980509083,1345.699122518848,924.0000000000002,924,100000
2020-10-19,0.8858698062209117,0.8814857362701953,0.7658676328317924,0.9914740761567561,594.52856717614,1242.873925132371,1517.0000000000005,1517,100000
2020-10-20,0.9112309783729441,0.9075437469093037,0.8023794158000539,1.0237361256048898,575.6500015803258,1151.1143245532703,1194.0000000000002,1194,100000
2020-10-21,0.9407288454907946,0.9392814095303191,0.817206270645716,1.0601106764466015,560.7854735489519,1069.5388753528064,1171.0000000000002,1171,100000
2020-10-22,0.9700829110690767,0.967741465066132,0.8307790923986461,1.084683248704773,549.4542804508696,997.2862676620751,1032.0000000000002,1032,100000
2020-10-23,0.9915940752681414,0.9896177403917672,0.8607755036072428,1.1132408814371937,541.4625575161283,933.5362561870718,849.0000000000002,849,100000
2020-10-24,1.0139510351852887,1.0110760731204118,0.8707562227165926,1.1266534876194263,536.7594244300004,877.5232743718474,246.00000000000006,246,100000
2020-10-25,1.0352523081787313,1.03344252339795,0.900806166017086,1.1567233664895729,534.8270268273592,828.5348778472559,606.0000000000002,606,100000
2020-10-26,1.0517732817962335,1.0470296947023474,0.9070760883062271,1.1717636631653867,535.189789835598,785.9256476055801,884.0000000000003,884,100000
2020-10-27,1.0668879139218228,1.065264189773675,0.9101527379061626,1.1856216283413779,537.7032813823372,749.128774732866,887.0000000000002,887,100000
2020-10-28,1.0846500228611158,1.0749173543469903,0.9373506550355328,1.2170890566324464,542.1186480216986,717.6286229617403,724.0000000000002,724,100000
2020-10-29,1.0969014196935916,1.0941550498345642,0.9594978359081492,1.2517351392532228,548.1745657375949,690.9434440706781,645.0000000000002,645,100000
