date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-03-07,1.4486634751706893,1.4338993644559186,1.221629633739766,1.6604631602265938,142.77233328804562,0.0,0.0,0.0,0
2020-03-08,1.4451486198027095,1.425643174706864,1.2133016686931206,1.631433794717562,1.4745209859997137,0.0,0.0,0.0,0
2020-03-09,1.440854870562253,1.425968787459671,1.198214091815799,1.6064202305134425,20.905625515060436,0.0,0.0,0.0,0
2020-03-10,1.4371435158258479,1.42416838290703,1.2199211371503018,1.6040728417628152,39.684532673451116,10.204314646365592,0.0,0.0,0
2020-03-11,1.4332575669942544,1.4235971794111486,1.2337279245598645,1.606287893401318,42.88487350534958,15.862444536870512,0.0,0.0,0
2020-03-12,1.4290810417416946,1.422831423486766,1.2431668087058052,1.6062563952327624,43.22845829727227,19.314238656951257,0.0,0.0,0
2020-03-13,1.417067691388338,1.4097089283358295,1.2468074880698634,1.5851999530951617,45.84133010804142,22.36541167840239,0.0,0.0,0
2020-03-14,1.4072323052574844,1.404226475685561,1.2157515045895868,1.5482535053534405,49.49382952299177,26.277010117100065,0.0,0.0,0
2020-03-15,1.3918626271591819,1.3919402609256124,1.2232134078511707,1.532354660484858,53.15257592519656,29.347490252674614,0.0,0.0,0
2020-03-16,1.3759907457826044,1.3737338452430712,1.2139262426424844,1.5114753329587634,56.83184532656675,33.62183541360133,0.0,0.0,0
2020-03-17,1.3526334221179102,1.347612216290908,1.1997493987147012,1.4869350037242157,60.67644296067744,36.12626561730376,14.00000000000001,14.0,100000
2020-03-18,1.3282637462855826,1.3241207859261817,1.1919081473724424,1.45498499236326,64.67450278385752,39.24980790380982,23.00000000000002,23.0,100000
2020-03-19,1.3003769900880529,1.291559977530754,1.1620295913589258,1.4160559983102505,68.74060677797476,43.24095452168903,16.000000000000014,16.0,100000
2020-03-20,1.2702032188495453,1.267150195360049,1.1544590173423497,1.395023583593181,72.79794728530156,46.27343092753606,16.000000000000014,16.0,100000
2020-03-21,1.2356923538376134,1.23492124475673,1.133816822443082,1.35798758031694,76.7809450221618,49.90846997704569,31.00000000000003,31.0,100000
2020-03-22,1.1991212680202805,1.2008467579053597,1.0894372963310877,1.3108267568364853,80.61150033430384,53.56694661281449,25.00000000000002,25.0,100000
2020-03-23,1.164139139357458,1.1643156232837224,1.069951530484792,1.2718085857678016,84.19213190655742,57.91410577407304,73.00000000000006,73.0,100000
2020-03-24,1.127254789314393,1.1236845301565044,1.039049500218678,1.2311107052965293,87.41884286917637,61.60535996360629,55.00000000000005,55.0,100000
2020-03-25,1.0886902986665965,1.0891021351766965,0.9868360992880407,1.1775934537966524,90.2239536058857,65.55038814112658,57.00000000000005,57.0,100000
2020-03-26,1.052032294738946,1.0501959048060976,0.9718327628496403,1.1485629338756573,92.54338708085889,69.63763704781657,26.00000000000002,26.0,100000
2020-03-27,1.0143117436657638,1.0126175692716006,0.9366736067134768,1.1039681406425432,94.14860776346751,73.74191331693766,51.00000000000005,51.0,100000
2020-03-28,0.9789770745775295,0.978954959849156,0.9089284521052658,1.0679862579717363,95.32591912538297,77.7282938748306,68.00000000000007,68.0,100000
2020-03-29,0.9435582052100915,0.9437312873841378,0.8670478716151115,1.0153447563483762,95.81169148923065,81.71930853204282,114.0000000000001,114.0,100000
2020-03-30,0.9102916615225288,0.9084705745221762,0.8420687769312265,0.982374553251198,95.60531784541733,85.38965035051008,77.00000000000006,77.0,100000
2020-03-31,0.8799040678018164,0.8804496553565299,0.8010396030288727,0.9333890461375375,94.74862313990879,88.71474454361638,137.0000000000001,137.0,100000
2020-04-01,0.8477997211775614,0.8457606817074363,0.787381552355461,0.921579960583177,93.2704960031162,91.73117242656865,142.0000000000001,142.0,100000
2020-04-02,0.8189474290492309,0.8173664511051009,0.7558491244032249,0.8875061438639589,91.22009301969611,94.451924969039,192.00000000000017,192.0,100000
2020-04-03,0.7924341484455563,0.7908863199121561,0.7229401921791523,0.854005858339175,88.63240995927075,96.65795434967109,130.0000000000001,130.0,100000
