date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-03-12,0.6142081127341232,0.5936580784149741,0.4507556964410454,0.7553203622803546,71.83262172643633,0.0,0.0,0.0,0
2020-03-13,0.6105848021836715,0.5933364391278027,0.46200840718027714,0.750416355995451,0.30963035958392054,0.0,0.0,0.0,0
2020-03-14,0.6098357618862144,0.6034579972547304,0.466690020811499,0.7381025763342896,4.388054950534138,0.0,0.0,0.0,0
2020-03-15,0.6102450584703554,0.6018961930791296,0.4640576497803266,0.7272795845233389,8.28069963298806,4.840254475727531,0.0,0.0,0
2020-03-16,0.6093928098461449,0.6077957475815672,0.4734626689774784,0.7364940055756328,8.534251113353905,7.494973027224403,0.0,0.0,0
2020-03-17,0.6072771807249963,0.6014627853373373,0.4714094098910222,0.7169946268264651,7.567973793706212,8.703365006092882,0.0,0.0,0
2020-03-18,0.6064360876943318,0.599551068228841,0.47195367095297,0.7056732211831939,6.718387218650176,9.133037912631108,0.0,0.0,0
2020-03-19,0.6072932402396273,0.598001965601866,0.45741405297912935,0.689011702859588,6.09288320826127,9.605990994370853,0.0,0.0,0
2020-03-20,0.605201194992449,0.5982894804549568,0.4724928198217354,0.7005691660659542,5.5668679804080625,9.509773463267845,0.0,0.0,0
2020-03-21,0.6050088869329883,0.5968364537838915,0.4827019767836596,0.697960397844548,5.087471460439013,9.845123591017924,0.0,0.0,0
2020-03-22,0.6048313151457285,0.5951069752867082,0.4840666377733398,0.7047589857514824,4.6472077736743485,9.204585951777569,7.0,7.0,2100000
2020-03-23,0.6026673642514812,0.5960167919012902,0.48749641674472544,0.7032867432096964,4.2453262623517025,8.713700541530903,7.0,7.0,2100000
2020-03-24,0.5982369130013613,0.5894612596342197,0.48974598452721024,0.7045875671099511,3.8797539874545386,8.532517308461397,14.0,14.0,2100000
2020-03-25,0.590710909205049,0.5877524512103904,0.4725314351249925,0.6719511663766409,3.5462453034479844,7.8429889383225735,10.0,10.0,2100000
2020-03-26,0.5878953993970992,0.5807966701063794,0.48020462071689773,0.6801988245646351,3.2397747192880635,7.362114332477741,5.0,5.0,2100000
2020-03-27,0.5838626294332492,0.5754923115208908,0.4727261198321211,0.6798909278534675,2.9560445386197776,6.827295235437077,5.0,5.0,2100000
2020-03-28,0.5779542092528714,0.5743860817561639,0.46388559372745675,0.6600556268226854,2.693831492379922,6.582064636165609,2.0,2.0,2100000
2020-03-29,0.5690137843344693,0.5642185864571876,0.4677434712329106,0.6720851225708466,2.4526119972052056,5.996894084205861,1.0,1.0,2100000
2020-03-30,0.5631481137331753,0.5589707686875653,0.4572528196561354,0.6478507380537852,2.230399583110181,5.49982437264204,11.0,11.0,2100000
