date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-03-05,2.16195879842003,2.110179737688213,1.597804823983899,2.649934235174019,32.93529048879242,0.0,0.0,0.0,0
2020-03-06,2.161460466155194,2.1201519129579935,1.6842049050758032,2.6944210270074107,0.4868868732188182,0.0,0.0,0.0,0
2020-03-07,2.1476656052878096,2.1083263829163665,1.6535975917962522,2.611602022847101,6.905421958931714,0.0,0.0,0.0,0
2020-03-08,2.136648223436584,2.0962165943051176,1.6376407262816246,2.547850725570294,13.170872848621872,2.197691692189863,0.0,0.0,0
2020-03-09,2.113868373852386,2.082630409539247,1.5990151349307087,2.465422397248226,14.758736676717886,3.426068223195974,0.0,0.0,0
2020-03-10,2.093772918858404,2.0726757503886546,1.5897536170400057,2.4043982912221322,16.195995706132724,4.313787427136081,0.0,0.0,0
2020-03-11,2.0468048319736174,2.0151438469780176,1.6543334345079317,2.4049172773398992,18.915498071951443,5.31636351706653,0.0,0.0,0
2020-03-12,1.9833235026177365,1.9603242828853107,1.669411429076015,2.350875870321897,22.223652268186886,6.654609474185701,0.0,0.0,0
2020-03-13,1.8944288596907808,1.8844182311901982,1.5890246088667042,2.198952366543615,25.81467791074189,7.948443000507879,0.0,0.0,0
2020-03-14,1.7947628125822865,1.7871425430870902,1.5192496644048674,2.0788770723978836,29.76319695466982,9.680557547364678,0.0,0.0,0
2020-03-15,1.680591036137255,1.6690207070820935,1.4324955417776448,1.9293096279471444,34.04668313531879,11.246407637606126,3.0,3.0,1100000
2020-03-16,1.552888098319682,1.540742438837429,1.3146207522370277,1.7513346208535219,38.51807778023441,13.192976984569412,7.0,7.0,1100000
2020-03-17,1.4250546368284034,1.4163848865340085,1.226140580438568,1.616546474109856,42.986451664532154,15.588066413289896,7.999999999999999,8.0,1100000
2020-03-18,1.299043103102367,1.2950299034590183,1.1112884019171942,1.464983896344379,47.20910804703267,18.043601948007378,9.0,9.0,1100000
2020-03-19,1.1791290377980668,1.17494990970591,1.017700750937925,1.327340946496688,50.93242301874322,20.909344489985628,15.0,15.0,1100000
2020-03-20,1.0698349441430244,1.0721083696158205,0.9326825476912546,1.205206777456257,53.92756942520191,24.039790748640534,10.0,10.0,1100000
2020-03-21,0.9720738521834562,0.9642781073163237,0.8259620854651383,1.082035399981274,56.010545568295484,27.527792515744103,22.000000000000004,22.0,1100000
2020-03-22,0.8925108945423122,0.8864374474685744,0.7764409894567175,1.0158792024550831,57.07426830464013,31.01471413177779,37.0,37.0,1100000
2020-03-23,0.8221446116682479,0.8162307969567555,0.7041351368726058,0.9165544080865698,57.097293493909724,34.60647378388832,34.0,34.0,1100000
2020-03-24,0.7602184232633722,0.7587913889615174,0.6408738225584854,0.8444702515590952,56.166378849492126,38.16051872822029,62.0,62.0,1100000
2020-03-25,0.7093915091133249,0.7074262507727217,0.6155416785294242,0.8132361292639947,54.37030271115875,41.52047872481329,61.0,61.0,1100000
2020-03-26,0.669554576863829,0.6655409216678861,0.5887557453562714,0.770116848584034,51.955607009536415,44.53930065140021,74.0,74.0,1100000
2020-03-27,0.6308668719818058,0.628919217196628,0.5364290269084571,0.7134539542149779,49.00709969571597,47.14195814649857,78.0,78.0,1100000
2020-03-28,0.5980202889134661,0.5933830693141111,0.4992763066746996,0.6763852348898415,45.715413664332544,49.180098131957834,59.0,59.0,1100000
2020-03-29,0.5701356985057724,0.5644623689221042,0.48519237828317907,0.6464116844009338,42.23268480196884,50.60336520078188,66.0,66.0,1100000
2020-03-30,0.5476455187040038,0.5425772760967646,0.4704121312577134,0.6246426273097506,38.66243636858368,51.40480621160114,62.0,62.0,1100000
2020-03-31,0.5326668203973786,0.5270113042927622,0.4528269963511043,0.6003225408402575,35.105387866584365,51.601635726482584,58.0,58.0,1100000
2020-04-01,0.5195170781110761,0.5171184120891249,0.4354742987083594,0.5855276935704118,31.652765855642393,51.18841918321208,37.0,37.0,1100000
2020-04-02,0.5101452569729744,0.505391340776949,0.4320652291085441,0.5804133301139152,28.383289139354268,50.23623754165761,77.0,77.0,1100000
2020-04-03,0.502577512267688,0.5000390958706947,0.4308035495300087,0.5770101988337327,25.344433207135037,48.78647408659738,40.0,40.0,1100000
2020-04-04,0.498970356752566,0.496054708749609,0.4197055767560176,0.56486444009734,22.554426961861893,46.94941958237343,28.0,28.0,1100000
2020-04-05,0.4972005193590241,0.4942496479737417,0.41688654089657384,0.5623606463829746,20.017495707402883,44.78207442640183,67.0,67.0,1100000
2020-04-06,0.500684398241463,0.4983718993684373,0.42582509193819335,0.5723139353404223,17.73243711805742,42.38139741620765,40.0,40.0,1100000
2020-04-07,0.5054110146760173,0.5032942355813257,0.41884519238035617,0.5733145081661578,15.692602951307412,39.809543588366864,31.999999999999996,32.0,1100000
2020-04-08,0.5117809849817528,0.5101370306195414,0.41721560964583815,0.5708400309657976,13.888677305149649,37.154939099559975,30.0,30.0,1100000
2020-04-09,0.5230991580522043,0.5205036662928076,0.4504407398916838,0.6001582996072107,12.305495852741288,34.46632342218951,34.0,34.0,1100000
